epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4324.36,1.0989,0.86065,1.32778,0.827,0.75789,0.82098,0.50512,1.38784,0.93877,1.64864,0.000594321,0.000594321,0.000594321
61,4396.53,1.11539,0.85766,1.33582,0.81786,0.77063,0.83345,0.50985,1.38211,0.93665,1.64836,0.000580174,0.000580174,0.000580174
62,4468.61,1.09733,0.85016,1.32741,0.83885,0.75247,0.8321,0.51143,1.36773,0.93475,1.62569,0.000566027,0.000566027,0.000566027
63,4540.67,1.09818,0.86324,1.32801,0.86194,0.75362,0.83957,0.51987,1.37481,0.91364,1.6283,0.00055188,0.00055188,0.00055188
64,4612.91,1.10132,0.84405,1.32012,0.85004,0.74824,0.82857,0.50467,1.3964,0.94206,1.6566,0.000537733,0.000537733,0.000537733
65,4685.09,1.08575,0.85001,1.31865,0.86157,0.73458,0.82951,0.51274,1.37846,0.9398,1.64848,0.000523586,0.000523586,0.000523586
66,4756.92,1.06734,0.8279,1.31931,0.86646,0.74509,0.83212,0.51451,1.3637,0.93144,1.63364,0.000509438,0.000509438,0.000509438
67,4829.04,1.08505,0.83752,1.32236,0.83841,0.74661,0.82544,0.51132,1.38272,0.94909,1.64981,0.000495291,0.000495291,0.000495291
68,4900.99,1.07042,0.82217,1.31551,0.85496,0.75852,0.83184,0.5186,1.3722,0.929,1.64728,0.000481144,0.000481144,0.000481144
69,4972.9,1.07266,0.83887,1.32403,0.83875,0.75852,0.8298,0.51175,1.3838,0.91476,1.64993,0.000466997,0.000466997,0.000466997
70,5044.67,1.05436,0.82201,1.30462,0.83963,0.7517,0.8248,0.50906,1.38616,0.93693,1.66283,0.00045285,0.00045285,0.00045285
71,5116.47,1.07764,0.82645,1.31387,0.86483,0.73668,0.82562,0.51278,1.37924,0.9498,1.6516,0.000438703,0.000438703,0.000438703
72,5188.31,1.06357,0.81875,1.30954,0.86362,0.74309,0.83121,0.51441,1.37118,0.9307,1.63347,0.000424556,0.000424556,0.000424556
73,5260.24,1.07682,0.82009,1.3106,0.8514,0.7557,0.83201,0.51787,1.37434,0.93075,1.64299,0.000410409,0.000410409,0.000410409
74,5332.2,1.06435,0.81986,1.30449,0.85821,0.73811,0.82865,0.51501,1.36329,0.91804,1.64178,0.000396262,0.000396262,0.000396262
75,5404.15,1.07598,0.81866,1.30964,0.8649,0.7453,0.82841,0.51281,1.36721,0.93093,1.64159,0.000382115,0.000382115,0.000382115
76,5476.01,1.05433,0.81339,1.30618,0.84406,0.75477,0.82988,0.51318,1.37358,0.92685,1.64517,0.000367967,0.000367967,0.000367967
77,5547.97,1.05356,0.81134,1.29734,0.85345,0.75924,0.8349,0.51774,1.35287,0.9095,1.63146,0.00035382,0.00035382,0.00035382
78,5619.84,1.03244,0.79594,1.29195,0.80267,0.78038,0.83219,0.52256,1.35084,0.91096,1.62036,0.000339673,0.000339673,0.000339673
79,5691.97,1.05278,0.80491,1.29884,0.84256,0.75811,0.83238,0.5208,1.34354,0.89751,1.62504,0.000325526,0.000325526,0.000325526
80,5763.68,1.03549,0.79453,1.28834,0.83327,0.76758,0.8337,0.52125,1.34111,0.90575,1.62308,0.000311379,0.000311379,0.000311379
81,5835.48,1.03406,0.78931,1.28408,0.83476,0.75919,0.83096,0.51709,1.35549,0.9194,1.63737,0.000297232,0.000297232,0.000297232
82,5907.44,1.03113,0.78618,1.28866,0.84435,0.76165,0.83107,0.52193,1.34497,0.91039,1.63209,0.000283085,0.000283085,0.000283085
83,5979.42,1.04062,0.79635,1.29368,0.84729,0.75419,0.82871,0.51712,1.35482,0.91274,1.62988,0.000268938,0.000268938,0.000268938
84,6051.46,1.03805,0.78975,1.28209,0.86318,0.74285,0.83189,0.5231,1.34416,0.90336,1.62639,0.000254791,0.000254791,0.000254791
85,6123.35,1.03306,0.7947,1.28699,0.85957,0.76394,0.8359,0.52196,1.34314,0.88976,1.62855,0.000240644,0.000240644,0.000240644
86,6195.25,1.02299,0.78394,1.28123,0.83267,0.7782,0.83593,0.52398,1.34204,0.90696,1.62391,0.000226497,0.000226497,0.000226497
87,6266.99,1.02224,0.78585,1.284,0.84226,0.76895,0.83583,0.52461,1.33811,0.90354,1.61896,0.000212349,0.000212349,0.000212349
88,6338.49,1.01822,0.77275,1.27516,0.85556,0.76049,0.83292,0.52319,1.34284,0.9038,1.62185,0.000198202,0.000198202,0.000198202
89,6410.36,1.02198,0.78733,1.28713,0.86061,0.76023,0.83796,0.52257,1.35133,0.90242,1.62659,0.000184055,0.000184055,0.000184055
90,6482.27,1.02339,0.78068,1.28034,0.85783,0.75249,0.83453,0.52168,1.3492,0.92233,1.63273,0.000169908,0.000169908,0.000169908
91,6555.68,0.93227,0.62619,1.28302,0.84715,0.76141,0.83019,0.52066,1.33921,0.89842,1.62533,0.000155761,0.000155761,0.000155761
92,6627.31,0.92811,0.60556,1.28133,0.83618,0.77491,0.83146,0.52556,1.33773,0.90743,1.62502,0.000141614,0.000141614,0.000141614
93,6698.95,0.9131,0.58721,1.2701,0.84027,0.77289,0.83128,0.52632,1.33036,0.89814,1.61664,0.000127467,0.000127467,0.000127467
94,6770.48,0.90077,0.58856,1.26367,0.8606,0.77033,0.83341,0.52596,1.33841,0.91077,1.61707,0.00011332,0.00011332,0.00011332
95,6841.83,0.90328,0.58445,1.26574,0.84854,0.7702,0.83183,0.52502,1.33709,0.90304,1.6265,9.91726e-05,9.91726e-05,9.91726e-05
96,6913.18,0.90775,0.5802,1.26465,0.85624,0.76436,0.83222,0.52867,1.3364,0.89573,1.63022,8.50255e-05,8.50255e-05,8.50255e-05
97,6984.73,0.90437,0.58518,1.26864,0.85054,0.7683,0.83163,0.52567,1.33366,0.90515,1.62172,7.08784e-05,7.08784e-05,7.08784e-05
98,7056.31,0.89441,0.5833,1.26575,0.85059,0.76432,0.82865,0.52608,1.3325,0.90373,1.62209,5.67313e-05,5.67313e-05,5.67313e-05
99,7127.78,0.89465,0.58137,1.26303,0.85531,0.7604,0.83003,0.52762,1.33654,0.90143,1.62459,4.25842e-05,4.25842e-05,4.25842e-05
100,7199.24,0.89653,0.58039,1.25925,0.85153,0.76395,0.8294,0.52688,1.33908,0.89836,1.6237,2.84371e-05,2.84371e-05,2.84371e-05
