epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,5356.45,1.09467,0.85415,1.32199,0.84574,0.75021,0.83042,0.51254,1.38783,0.95555,1.6873,0.000608468,0.000608468,0.000608468
60,5439.87,1.10269,0.85983,1.32929,0.82023,0.76491,0.83054,0.50531,1.39897,0.95782,1.69623,0.000594321,0.000594321,0.000594321
61,5523.44,1.11231,0.85258,1.32332,0.83855,0.74562,0.82675,0.5125,1.39547,0.95456,1.6847,0.000580174,0.000580174,0.000580174
62,5599.9,1.09917,0.85167,1.32153,0.85104,0.75812,0.8377,0.51542,1.39146,0.9246,1.67657,0.000566027,0.000566027,0.000566027
63,5678,1.08838,0.85284,1.31877,0.84089,0.76196,0.83391,0.51249,1.39344,0.93772,1.67523,0.00055188,0.00055188,0.00055188
64,5761.61,1.09194,0.8504,1.32267,0.83272,0.76818,0.83227,0.51058,1.39247,0.92715,1.68947,0.000537733,0.000537733,0.000537733
65,5845.03,1.09413,0.85192,1.32084,0.82673,0.75619,0.8269,0.5125,1.37913,0.94601,1.69068,0.000523586,0.000523586,0.000523586
66,5921.64,1.10154,0.85039,1.32104,0.83264,0.75689,0.83125,0.51469,1.37952,0.93002,1.67376,0.000509438,0.000509438,0.000509438
67,6000.41,1.07741,0.8344,1.31115,0.82815,0.76744,0.83586,0.51399,1.37837,0.92572,1.67036,0.000495291,0.000495291,0.000495291
68,6084,1.07211,0.83677,1.30695,0.83814,0.75133,0.83041,0.51451,1.37673,0.92597,1.67326,0.000481144,0.000481144,0.000481144
69,6167.5,1.08253,0.82686,1.30918,0.82417,0.752,0.82545,0.51314,1.36955,0.93321,1.67128,0.000466997,0.000466997,0.000466997
70,6244.11,1.07574,0.82383,1.30356,0.86205,0.75027,0.83255,0.51153,1.38861,0.93951,1.71484,0.00045285,0.00045285,0.00045285
71,6323.13,1.06388,0.83234,1.30871,0.84373,0.7565,0.8264,0.51149,1.38242,0.94353,1.69669,0.000438703,0.000438703,0.000438703
72,6406.62,1.07461,0.81935,1.30258,0.84414,0.75792,0.83456,0.52003,1.37713,0.92565,1.68223,0.000424556,0.000424556,0.000424556
73,6489.77,1.05751,0.8155,1.30066,0.85331,0.75427,0.83458,0.52095,1.3848,0.91338,1.67958,0.000410409,0.000410409,0.000410409
74,6566.47,1.05889,0.81122,1.29682,0.83514,0.76487,0.83523,0.52046,1.38546,0.93701,1.68304,0.000396262,0.000396262,0.000396262
75,6644.72,1.06067,0.815,1.30083,0.82956,0.76535,0.83242,0.51964,1.37679,0.92578,1.67875,0.000382115,0.000382115,0.000382115
76,6728.18,1.05246,0.80297,1.29138,0.82358,0.774,0.83284,0.51823,1.37566,0.92659,1.67674,0.000367967,0.000367967,0.000367967
77,6811.39,1.05501,0.81013,1.29673,0.86058,0.7589,0.83818,0.5216,1.37402,0.9154,1.67819,0.00035382,0.00035382,0.00035382
78,6888.26,1.05307,0.79975,1.29546,0.84536,0.75344,0.83115,0.51479,1.38417,0.92208,1.6925,0.000339673,0.000339673,0.000339673
79,6966.8,1.02509,0.79229,1.27553,0.84404,0.74865,0.832,0.51773,1.3745,0.92461,1.6759,0.000325526,0.000325526,0.000325526
80,7050.26,1.05128,0.8048,1.29322,0.82596,0.77531,0.83496,0.5139,1.37568,0.91684,1.66692,0.000311379,0.000311379,0.000311379
81,7133.51,1.04241,0.8001,1.27996,0.83297,0.76645,0.82886,0.51513,1.37668,0.91742,1.6735,0.000297232,0.000297232,0.000297232
82,7210.08,1.03705,0.79076,1.2843,0.84619,0.75877,0.83131,0.51453,1.37958,0.92708,1.67531,0.000283085,0.000283085,0.000283085
83,7288.96,1.0259,0.7899,1.2779,0.84317,0.76357,0.83157,0.51697,1.38073,0.91943,1.67597,0.000268938,0.000268938,0.000268938
84,7372.23,1.01939,0.78163,1.27926,0.8393,0.76033,0.83145,0.51906,1.38348,0.90816,1.68663,0.000254791,0.000254791,0.000254791
85,7455.48,1.03688,0.792,1.27829,0.84396,0.76728,0.83641,0.51863,1.37283,0.90685,1.67377,0.000240644,0.000240644,0.000240644
86,7532.01,1.02119,0.77245,1.27398,0.84243,0.77211,0.8356,0.52035,1.37709,0.91295,1.67743,0.000226497,0.000226497,0.000226497
87,7610.75,1.02591,0.76929,1.27146,0.83038,0.77458,0.83135,0.52008,1.37878,0.90828,1.68005,0.000212349,0.000212349,0.000212349
88,7694.19,1.02708,0.78329,1.27908,0.84133,0.76693,0.8321,0.51984,1.38189,0.90926,1.67692,0.000198202,0.000198202,0.000198202
89,7777.61,1.03635,0.78431,1.2807,0.83245,0.77314,0.83091,0.52103,1.37731,0.90594,1.66934,0.000184055,0.000184055,0.000184055
90,7854.06,1.03678,0.78318,1.28032,0.82823,0.77266,0.829,0.52284,1.37572,0.90414,1.66495,0.000169908,0.000169908,0.000169908
91,7931.6,0.93657,0.62003,1.28212,0.84002,0.77318,0.83212,0.52174,1.37566,0.88886,1.66836,0.000155761,0.000155761,0.000155761
92,8011.31,0.92169,0.60123,1.27019,0.83321,0.76868,0.83076,0.51994,1.37165,0.89414,1.67152,0.000141614,0.000141614,0.000141614
93,8093.85,0.91711,0.59653,1.2726,0.85671,0.75442,0.83223,0.52166,1.37021,0.89754,1.67359,0.000127467,0.000127467,0.000127467
94,8176.08,0.91164,0.58914,1.26853,0.83661,0.76375,0.83188,0.51967,1.36613,0.89565,1.67112,0.00011332,0.00011332,0.00011332
95,8252.39,0.90348,0.58457,1.25861,0.85158,0.75794,0.82909,0.51905,1.37289,0.89568,1.68076,9.91726e-05,9.91726e-05,9.91726e-05
96,8329.09,0.90383,0.58087,1.25686,0.85287,0.75867,0.83081,0.52141,1.36882,0.901,1.67364,8.50255e-05,8.50255e-05,8.50255e-05
97,8412.05,0.88876,0.5745,1.2505,0.84658,0.77043,0.83141,0.51792,1.36945,0.89536,1.67803,7.08784e-05,7.08784e-05,7.08784e-05
98,8495.06,0.89012,0.57096,1.24984,0.85926,0.75546,0.8334,0.5194,1.37007,0.89408,1.67883,5.67313e-05,5.67313e-05,5.67313e-05
99,8570.76,0.8895,0.56786,1.24682,0.85289,0.76082,0.83297,0.52326,1.36307,0.89766,1.66937,4.25842e-05,4.25842e-05,4.25842e-05
100,8649.55,0.8888,0.56681,1.24734,0.85195,0.76206,0.83376,0.52149,1.36704,0.8937,1.66981,2.84371e-05,2.84371e-05,2.84371e-05
