epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1750.69,1.11135,0.81087,1.32887,0.81716,0.7006,0.75373,0.45365,1.44262,0.92316,1.86586,0.000421019,0.000421019,0.000421019
59,1782.82,1.10956,0.80301,1.33226,0.8349,0.6981,0.75406,0.455,1.43502,0.92268,1.85883,0.000403335,0.000403335,0.000403335
60,1814.9,1.12018,0.81512,1.33591,0.81064,0.70934,0.75331,0.4547,1.4202,0.90924,1.83363,0.000385651,0.000385651,0.000385651
61,1847.2,1.10204,0.79571,1.32032,0.80294,0.70217,0.75503,0.46541,1.41813,0.91578,1.8224,0.000367967,0.000367967,0.000367967
62,1879.23,1.10352,0.79167,1.32769,0.76516,0.72346,0.75165,0.45815,1.42358,0.92023,1.83917,0.000350284,0.000350284,0.000350284
63,1912.25,1.10499,0.79741,1.31155,0.79669,0.72734,0.74857,0.45677,1.42948,0.89567,1.84655,0.0003326,0.0003326,0.0003326
64,1944.37,1.10376,0.7953,1.3246,0.82323,0.71322,0.761,0.46775,1.42514,0.9113,1.83697,0.000314916,0.000314916,0.000314916
65,1976.5,1.09799,0.78828,1.32386,0.80271,0.71225,0.7482,0.46408,1.41541,0.90189,1.81884,0.000297232,0.000297232,0.000297232
66,2009.34,1.09268,0.79772,1.32665,0.82146,0.6845,0.7473,0.46012,1.41267,0.91362,1.8286,0.000279548,0.000279548,0.000279548
67,2041.77,1.09361,0.78105,1.31622,0.79985,0.71575,0.75384,0.46147,1.41483,0.91669,1.82949,0.000261864,0.000261864,0.000261864
68,2074.45,1.11228,0.79949,1.31845,0.78771,0.72609,0.74477,0.45924,1.42891,0.91264,1.83979,0.00024418,0.00024418,0.00024418
69,2106.77,1.07328,0.78141,1.29668,0.80901,0.72094,0.74867,0.46094,1.40402,0.90413,1.83491,0.000226497,0.000226497,0.000226497
